Type;ESR-7;
Version;3.48;
Date;15.Oct 25;
Mode;ANALYZER;
Center Freq;3100000000.000000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;3100000000.000000;Hz
Stop;3100000000.000000;Hz
Ref Level;-5.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;15.000000;dB
El Att;0.000000;dB
RBW;100000.000000;Hz
VBW;100000.000000;Hz
SWT;95.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;1905;
4.750000000000002;-53.49766159057617;-53.49766159057617
4.797500000000002;-53.571136474609375;-53.571136474609375
4.845000000000002;-53.565467834472656;-53.565467834472656
4.892500000000003;-53.62968444824219;-53.62968444824219
4.940000000000003;-53.6044921875;-53.6044921875
4.987500000000003;-53.73695755004883;-53.73695755004883
5.035000000000004;-53.7254638671875;-53.7254638671875
5.082500000000004;-53.83314514160156;-53.83314514160156
5.130000000000004;-53.82004928588867;-53.82004928588867
5.177500000000005;-53.83517837524414;-53.83517837524414
5.225000000000005;-53.783451080322266;-53.783451080322266
5.272500000000005;-53.806236267089844;-53.806236267089844
5.320000000000006;-53.77885818481445;-53.77885818481445
5.367500000000006;-53.762916564941406;-53.762916564941406
5.415000000000006;-53.742435455322266;-53.742435455322266
5.462500000000007;-53.75870895385742;-53.75870895385742
5.510000000000007;-53.653289794921875;-53.653289794921875
5.557500000000007;-53.63944625854492;-53.63944625854492
5.6050000000000075;-53.606876373291016;-53.606876373291016
5.652500000000008;-53.48117446899414;-53.48117446899414
5.700000000000008;-53.521339416503906;-53.521339416503906
5.7475000000000085;-53.477657318115234;-53.477657318115234
5.795000000000009;-53.44773864746094;-53.44773864746094
5.842500000000009;-53.419395446777344;-53.419395446777344
5.8900000000000095;-53.41884231567383;-53.41884231567383
5.93750000000001;-53.353851318359375;-53.353851318359375
5.98500000000001;-53.28103256225586;-53.28103256225586
6.03250000000001;-53.32363510131836;-53.32363510131836
6.080000000000011;-53.28010940551758;-53.28010940551758
6.127500000000011;-53.262020111083984;-53.262020111083984
6.175000000000011;-53.26036071777344;-53.26036071777344
6.222500000000012;-53.19058609008789;-53.19058609008789
6.270000000000012;-53.13770294189453;-53.13770294189453
6.317500000000012;-53.10547637939453;-53.10547637939453
6.365000000000013;-53.01994705200195;-53.01994705200195
6.412500000000013;-53.0186653137207;-53.0186653137207
6.460000000000013;-52.95872116088867;-52.95872116088867
6.507500000000014;-52.984073638916016;-52.984073638916016
6.555000000000014;-52.83750915527344;-52.83750915527344
6.602500000000014;-52.782413482666016;-52.782413482666016
6.650000000000015;-52.68291091918945;-52.68291091918945
6.697500000000015;-52.61498260498047;-52.61498260498047
6.745000000000015;-52.57976150512695;-52.57976150512695
6.7925000000000155;-52.59781265258789;-52.59781265258789
6.840000000000016;-52.55699157714844;-52.55699157714844
6.887500000000016;-52.53734588623047;-52.53734588623047
6.9350000000000165;-52.498008728027344;-52.498008728027344
6.982500000000017;-52.52144241333008;-52.52144241333008
7.030000000000017;-52.552913665771484;-52.552913665771484
7.077500000000017;-52.519596099853516;-52.519596099853516
7.125000000000018;-52.54475784301758;-52.54475784301758
7.172500000000018;-52.57976150512695;-52.57976150512695
7.220000000000018;-52.63329315185547;-52.63329315185547
7.267500000000019;-52.68346405029297;-52.68346405029297
7.315000000000019;-52.758731842041016;-52.758731842041016
7.362500000000019;-52.84099578857422;-52.84099578857422
7.41000000000002;-52.90774917602539;-52.90774917602539
7.45750000000002;-52.999977111816406;-52.999977111816406
7.50500000000002;-53.0720100402832;-53.0720100402832
7.552500000000021;-53.241390228271484;-53.241390228271484
7.600000000000021;-53.16537857055664;-53.16537857055664
7.647500000000021;-53.233848571777344;-53.233848571777344
7.695000000000022;-53.3646240234375;-53.3646240234375
7.742500000000022;-53.391510009765625;-53.391510009765625
7.790000000000022;-53.35713577270508;-53.35713577270508
7.837500000000023;-53.35604476928711;-53.35604476928711
7.885000000000023;-53.37961196899414;-53.37961196899414
7.932500000000023;-53.355133056640625;-53.355133056640625
