Type;ESR-7
Version;3.48
Date;15.Oct 25
Mode;ANALYZER
Center Freq;3100000000.000000
Freq Offset;0.000000
Span;0.000000
x-Axis;LIN
Start;3100000000.000000
Stop;3100000000.000000
Ref Level;-5.000000
Level Offset;0.000000
Ref Position;100.000000
y-Axis;LOG
Level Range;100.000000
Rf Att;15.000000
El Att;0.000000
RBW;100000.000000
VBW;100000.000000
SWT;95.000000
Trace Mode;CLR/WRITE
Detector;AUTOPEAK
Sweep Count;0
x-Unit;s
y-Unit;dBm
Preamplifier;OFF
Transducer;OFF
Values;2001;
6.7925000000000155;-57.2557373046875;-57.2557373046875
6.840000000000016;-57.334869384765625;-57.334869384765625
6.887500000000016;-57.39142990112305;-57.39142990112305
6.9350000000000165;-57.38922119140625;-57.38922119140625
6.982500000000017;-57.40877151489258;-57.40877151489258
7.030000000000017;-57.505287170410156;-57.505287170410156
7.077500000000017;-57.47407913208008;-57.47407913208008
7.125000000000018;-57.6723747253418;-57.6723747253418
7.172500000000018;-57.696495056152344;-57.696495056152344
7.220000000000018;-57.8203125;-57.8203125
7.267500000000019;-57.865081787109375;-57.865081787109375
7.315000000000019;-57.94428634643555;-57.94428634643555
7.362500000000019;-57.95811462402344;-57.95811462402344
7.41000000000002;-58.046302795410156;-58.046302795410156
7.45750000000002;-58.10941696166992;-58.10941696166992
7.50500000000002;-58.12558364868164;-58.12558364868164
7.552500000000021;-58.252384185791016;-58.252384185791016
7.600000000000021;-58.26498031616211;-58.26498031616211
7.647500000000021;-58.33671569824219;-58.33671569824219
7.695000000000022;-58.36661148071289;-58.36661148071289
7.742500000000022;-58.42094039916992;-58.42094039916992
7.790000000000022;-58.5451774597168;-58.5451774597168
7.837500000000023;-58.6158561706543;-58.6158561706543
7.885000000000023;-58.63540267944336;-58.63540267944336
7.932500000000023;-58.666908264160156;-58.666908264160156
7.9800000000000235;-58.73471450805664;-58.73471450805664
8.027500000000023;-58.77085494995117;-58.77085494995117
8.075000000000022;-58.861968994140625;-58.861968994140625
8.122500000000022;-58.888275146484375;-58.888275146484375
8.170000000000021;-58.934085845947266;-58.934085845947266
8.21750000000002;-58.974945068359375;-58.974945068359375
8.26500000000002;-58.99390411376953;-58.99390411376953
8.31250000000002;-59.07270431518555;-59.07270431518555
8.360000000000019;-59.06148147583008;-59.06148147583008
8.407500000000018;-59.11237716674805;-59.11237716674805
8.455000000000018;-59.07841873168945;-59.07841873168945
8.502500000000017;-59.105167388916016;-59.105167388916016
8.550000000000017;-59.05633544921875;-59.05633544921875
8.597500000000016;-59.08560562133789;-59.08560562133789
8.645000000000016;-59.1236686706543;-59.1236686706543
8.692500000000015;-59.09648513793945;-59.09648513793945
8.740000000000014;-59.000831604003906;-59.000831604003906
8.787500000000014;-59.0535774230957;-59.0535774230957
8.835000000000013;-59.09150695800781;-59.09150695800781
8.882500000000013;-58.989707946777344;-58.989707946777344
8.930000000000012;-59.0332145690918;-59.0332145690918
8.977500000000012;-59.03339385986328;-59.03339385986328
9.025000000000011;-58.918174743652344;-58.918174743652344
9.07250000000001;-59.04899215698242;-59.04899215698242
9.12000000000001;-59.01984786987305;-59.01984786987305
9.16750000000001;-59.07215881347656;-59.07215881347656
9.215000000000009;-59.12440490722656;-59.12440490722656
9.262500000000008;-59.09501266479492;-59.09501266479492
9.310000000000008;-59.145545959472656;-59.145545959472656
9.357500000000007;-59.133487701416016;-59.133487701416016
9.405000000000006;-59.198204040527344;-59.198204040527344
9.452500000000006;-59.24930953979492;-59.24930953979492
9.500000000000005;-59.2883415222168;-59.2883415222168
9.547500000000005;-59.33662796020508;-59.33662796020508
9.595000000000004;-59.402584075927734;-59.402584075927734
9.642500000000004;-59.44496154785156;-59.44496154785156
9.690000000000003;-59.512882232666016;-59.512882232666016
9.737500000000002;-59.49067687988281;-59.49067687988281
9.785000000000002;-59.48808670043945;-59.48808670043945
9.832500000000001;-59.61793518066406;-59.61793518066406
9.88;-59.59393310546875;-59.59393310546875
9.9275;-59.75098419189453;-59.75098419189453
9.975;-59.803314208984375;-59.803314208984375
10.022499999999999;-59.84157180786133;-59.84157180786133
10.069999999999999;-59.926387786865234;-59.926387786865234
10.117499999999998;-60.06650924682617;-60.06650924682617
10.164999999999997;-60.07020950317383;-60.07020950317383
10.212499999999997;-60.228031158447266;-60.228031158447266
10.259999999999996;-60.244102478027344;-60.244102478027344
10.307499999999996;-60.46444320678711;-60.46444320678711
10.354999999999995;-60.576751708984375;-60.576751708984375
10.402499999999995;-60.705753326416016;-60.705753326416016
10.449999999999994;-60.85952377319336;-60.85952377319336
